# ADVERTISED-POLICY verdicts — scripts/census_advertised_policies.py
#
# One row per policy line a resolver pack advertises to every caller that reads
# the §12.2 registry:
#
#     <pack><TAB><field><TAB><value><TAB><verdict><TAB><owning leaf><TAB><evidence>
#
# The census enumerates the lines from their PRODUCERS (the Rust literals in
# `resolvers.rs::gated_advertises` and the `INSERT INTO resolver_capabilities`
# rows in `migrations/`) and refuses any line this file does not cover. A pack
# added to either producer fails the gate until its six lines are adjudicated.
#
# 🔴 THE VALUE IS PART OF THE ROW BECAUSE THE FIRST VERSION OF THIS FILE LEFT
# IT OUT. Keyed by pack and field alone, a verdict outlived the line that
# earned it: flipping R3's `subresource_policy` from `deny` to `allow` in the
# producer left the census GREEN, still reporting `enforced — .7.3.5` for a
# line advertising the opposite of what that leaf repaired. Measured in situ,
# then restored byte-identical. A judgement about a word is gated on the word.
#
# ⭐ WHY THIS FILE IS SEPARATE FROM THE CENSUS. A verdict is a judgement with
# evidence behind it; an enumeration is a command. Keeping them apart is what
# lets the census be re-run against a tree whose verdicts have changed — and it
# is why `--check` can be a gate at all. The census never grades; this file
# never counts.
#
# The vocabulary (`VERDICTS` in the census, which refuses anything else):
#
#   enforced      a mechanism refuses AND a control has been observed RED; the
#                 evidence column names the leaf or commit that observed it.
#   unverified    a mechanism is present and covered, but no RED is on record.
#                 ⛔ NOT a defect and NOT a weaker `enforced` — it is the named
#                 gap `docs/CLAIM_VERIFICATION.md` §4 asks for rather than a
#                 hidden one. The line rests on READING the mechanism.
#   vacuous       the pack has no mechanism that could violate the line; the
#                 evidence names what establishes the absence. ⚠️ Nothing would
#                 notice if it stopped being vacuous.
#   unenforced    the pack can violate the line and nothing refuses. A defect.
#   undefined     the advertised word has no stated meaning anywhere in the
#                 repository, so the line is neither true nor false as written.
#   misdescribed  the word names something other than what the code does; the
#                 ADVERTISEMENT is what is wrong, not the code.
#   open          measured, routed to a named sibling leaf, not yet adjudicated.
#
# ⛔ `vacuous` IS NOT `enforced`, and collapsing them is the mistake this file
# exists to prevent. R0 advertises `javascript_policy: "deny"` and runs no
# script engine — true today, guarded by nothing, and silently false the day R0
# gains one. `SIGNOFF-REPAIR.7.3.5` repaired two lines that had been vacuous
# right up until the pack they described started executing pages.
#
# Adjudicated by `SIGNOFF-REPAIR.7.3.6.1` (REASONBRAID-REPAIR-0266) over all 36
# lines. Re-derive: `python3 -B scripts/census_advertised_policies.py`.

# ── r0-https-fetcher — in-process HTTPS acquisition; the bytes go to storage ──
r0-https-fetcher	egress_class	listed	unverified	SIGNOFF-REPAIR.7.3.6.5	DEFINED by .7.3.6.5, and migration 0025's own comment already said it: the §12.4 public-only destination CLASSES are the list. The bound is real and enforced per dial by ssrf.rs; `listed` is a list of destination classes, not of hosts. No RED on record for R0's own loop
r0-https-fetcher	sandbox_level	none	vacuous	SIGNOFF-REPAIR.7.3.6.1	`none` is the bottom of the ADR-018 ladder and claims no isolation; the fetcher runs in the server process
r0-https-fetcher	redirect_policy	follow-classified	unverified	SIGNOFF-REPAIR.7.3.6.1	fetcher.rs follows hops manually (`reqwest::redirect::Policy::none()`, fetcher.rs:414) and re-classifies each; no RED observation on record for R0's own loop — .7.2.2's RED was R1's git.rs
r0-https-fetcher	archive_policy	deny	vacuous	SIGNOFF-REPAIR.7.3.6.5	DEFINED by .7.3.6.5 from ROADMAP.md §16's `archive-depth` policy: `deny` = the pack does not expand an archive NESTED inside the container it acquired. R0 expands nothing at all — the bytes go to storage
r0-https-fetcher	subresource_policy	deny	vacuous	SIGNOFF-REPAIR.7.3.6.1	the fetcher acquires one URL's bytes into storage and parses no document, so no subresource request exists to refuse
r0-https-fetcher	javascript_policy	deny	vacuous	SIGNOFF-REPAIR.7.3.6.1	no script engine: `grep -n "script\|javascript" crates/reasonbraid-server/src/fetcher.rs` returns nothing

# ── r1-git-fetcher — in-process public-Git acquisition; no worktree ──────────
r1-git-fetcher	egress_class	listed	enforced	SIGNOFF-REPAIR.7.2.2	same definition; RED on record — `a_redirect_hop_to_an_ip_literal_is_classified_like_every_other_dial` failed with `Ok(200)`, the refused destination dialed AND answered
r1-git-fetcher	sandbox_level	none	vacuous	SIGNOFF-REPAIR.7.3.6.1	`none` claims no isolation; the acquirer runs in the server process and materializes no worktree
r1-git-fetcher	redirect_policy	follow-classified	enforced	SIGNOFF-REPAIR.7.2.2	REPAIR observed RED: with `Policy::limited(5)` restored, `a_redirect_hop_to_an_ip_literal_is_classified_like_every_other_dial` failed with `Ok(200)` — the refused destination was dialed AND answered
r1-git-fetcher	archive_policy	deny	vacuous	SIGNOFF-REPAIR.7.3.6.5	as r0: the acquirer takes odb bytes with `no_checkout: true` and materializes no worktree, so no nested container is opened
r1-git-fetcher	subresource_policy	deny	vacuous	SIGNOFF-REPAIR.7.3.6.1	a clone fetches the objects the protocol names; no document is parsed and no subresource is issued
r1-git-fetcher	javascript_policy	deny	vacuous	SIGNOFF-REPAIR.7.3.6.1	the acquirer executes no repository code — no hooks, no filters, no external-diff drivers (migration 0026's own refusal list)

# ── r2-extract-worker — a dedicated child process per extraction ─────────────
r2-extract-worker	egress_class	listed	vacuous	SIGNOFF-REPAIR.7.3.6.5	the worker performs NO egress — stdin bytes, and no HTTP client in its dependency graph. The class describes the R0 acquisition leg the PIPELINE borrows, which carries its own row
r2-extract-worker	sandbox_level	process	unverified	SIGNOFF-REPAIR.7.3.6.1	process-per-extraction is real (extraction.rs spawns the worker per call) and controls cover the budget kill; no RED observation on record that a non-spawning implementation fails them
r2-extract-worker	redirect_policy	follow-classified	unverified	SIGNOFF-REPAIR.7.3.6.1	inherited verbatim from R0's loop, which this pack calls through `fetch_admitting`; same gap as r0
r2-extract-worker	archive_policy	deny	unverified	SIGNOFF-REPAIR.7.3.6.5	⭐ THE LINE THAT LOOKED SELF-CONTRADICTORY AND IS NOT, once the term is defined by depth. R2 expands the container it was GIVEN (its advertised zip/tar media types) and REFUSES one nested inside it — `nested_archive` at reasonbraid-extract/src/main.rs:342 and :415, asserted at :782. `deny` = depth one. No RED observation on record
r2-extract-worker	subresource_policy	deny	vacuous	SIGNOFF-REPAIR.7.3.6.1	by dependency graph: crates/reasonbraid-extract/Cargo.toml carries no HTTP client (no reqwest, hyper, ureq or tokio::net), so a parsed document's external reference cannot be dialed
r2-extract-worker	javascript_policy	deny	unverified	SIGNOFF-REPAIR.7.3.6.1	a real refusal — `pdf_javascript` at reasonbraid-extract/src/main.rs:220, asserted at :735 over a catalog carrying /JavaScript; no RED observation on record

# ── r3-browser-worker — the only pack that executes the page's own code ──────
r3-browser-worker	egress_class	listed	unverified	SIGNOFF-REPAIR.7.3.6.5	same definition; the pre-flight classifies the caller's URL and .7.3.5's interception refuses every request the caller did not name, so the page cannot widen it. No RED on record for the pre-flight itself
r3-browser-worker	sandbox_level	process	enforced	SIGNOFF-REPAIR.7.3.6.5	🔴 CORRECTED from `vm_container` to `process` — G4's open strand, closed by correcting the advertisement rather than building a container. RED on record: a caller requiring `vm_container` was served `{"resolvers":["r3-browser-worker"],"unresolvable_now":false}` by a pack running an ordinary child process. ⭐ Nothing had ever REQUIRED `vm_container`, which is why a claim at the ladder's top was never tested. `security_evidence`'s `container_required` stays and is now consistent: the level says what the CODE provides, that key what the DEPLOYMENT must add
r3-browser-worker	redirect_policy	deny	enforced	SIGNOFF-REPAIR.7.3.5	REPAIR-0210, observed RED with a real browser: a document request for a URL nobody asked for fails with `BlockedByClient` at the CDP Fetch domain, and the refusal is named on the receipt
